"JBCXM__Account__c","JBCXM__Stage__c","JBCXM__Status__c","JBCXM__Comments__c"
"0019000000oGEPIAA4","stage4","ActiveCustomer","The Scotts Company UK Ltd-inactive - stage4 - ActiveCustomer"
"0019000000oGEckAAG","stage5","InactiveCustomer","LA RISUENA SA DE CV - stage5 - InactiveCustomer"
"0019000000oGEclAAG","stage6","ActiveCustomer","Lakeshore Fittings - stage6 - ActiveCustomer"
"0019000000oGEVqAAO","stage1","InactiveCustomer","HOG INC - stage1 - InactiveCustomer"
"0019000000oGEgCAAW","stage2","ActiveCustomer","WMC LLC - stage2 - ActiveCustomer"
"0019000000oGENiAAO","stage3","InactiveCustomer","ESPANSI ONE Srl - stage3 - InactiveCustomer"
"0019000000oGEQMAA4","stage4","ActiveCustomer","COMERCIALIZADORA AZK S DE RL DE CV - stage4 - ActiveCustomer"
"0019000000oGEcmAAG","stage5","InactiveCustomer","DISTRIBUIDORA SAJOR SA DE CV - stage5 - InactiveCustomer"
"0019000000oGER9AAO","stage6","ActiveCustomer","EXPRAL SA DE CV - stage6 - ActiveCustomer"
"0019000000oGERgAAO","stage1","InactiveCustomer","MEGADISTRIBUIDORA MEXICANA DE ILUMINACION SA DE CV - stage1 - InactiveCustomer"
"0019000000oGEcnAAG","stage2","ActiveCustomer","ANTONIO VALENCIANO MARRUFO - stage2 - ActiveCustomer"
"0019000000oGEjWAAW","stage3","InactiveCustomer","COMPANIA CONSTRUCTORA MARTINEZ CANTU S DE RL DE CV - stage3 - InactiveCustomer"
"0019000000oGEYVAA4","stage4","ActiveCustomer","LABORATORIO CENTRAL REGIONAL DE MONTERREY SA DE CV - stage4 - ActiveCustomer"
"0019000000oGERPAA4","stage5","InactiveCustomer","OSCAR FERNANDO SILVA OJEDA - stage5 - InactiveCustomer"
"0019000000oGEj8AAG","stage6","ActiveCustomer","SANJUANITA IMELDA CORTEZ SALAZAR - stage6 - ActiveCustomer"
"0019000000oGEWXAA4","stage1","InactiveCustomer","SEMEX SA DE CV - stage1 - InactiveCustomer"
"0019000000oGENFAA4","stage2","ActiveCustomer","Guangdong Eagle Gifts Co Ltd - stage2 - ActiveCustomer"
"0019000000oGEgDAAW","stage3","InactiveCustomer","Guangzhou Level Lighting Co Ltd - stage3 - InactiveCustomer"
"0019000000oGERAAA4","stage4","ActiveCustomer","Control Fluid Power - stage4 - ActiveCustomer"
"0019000000oGERBAA4","stage5","InactiveCustomer","Triumph Tool Inc - stage5 - InactiveCustomer"
"0019000000oGEaKAAW","stage6","ActiveCustomer","Vivid Imaginations Ltd - stage6 - ActiveCustomer"
"0019000000oGEUoAAO","stage1","InactiveCustomer","Home Care India PVT Ltd - stage1 - InactiveCustomer"
"0019000000oGEVrAAO","stage2","ActiveCustomer","Specified Components Company - stage2 - ActiveCustomer"
"0019000000oGEYWAA4","stage3","InactiveCustomer","The Cake Syndicate Pty Ltd - stage3 - InactiveCustomer"
"0019000000oGEbPAAW","stage4","ActiveCustomer","CHINA ARTS AND CRAFTS NANJING IMP. & EXP. CORP. - stage4 - ActiveCustomer"
"0019000000oGEgEAAW","stage5","InactiveCustomer","Hangzhou Footmax Enterprises Co Ltd - stage5 - InactiveCustomer"
"0019000000oGEPrAAO","stage6","ActiveCustomer","Hangzhou New Century International Co Ltd - stage6 - ActiveCustomer"
"0019000000oGEOlAAO","stage1","InactiveCustomer","HANGZHOU REKING IMP AND EXP CO LTD - stage1 - InactiveCustomer"
"0019000000oGETnAAO","stage2","ActiveCustomer","CHICO TRUCKING COMPANY INC - stage2 - ActiveCustomer"
"0019000000nFzoJAAS","stage3","InactiveCustomer","UniAmerica Inc - stage3 - InactiveCustomer"
"0019000000oGEcoAAG","stage4","ActiveCustomer","JAGDAMBA CUTLERY PVT LTD - stage4 - ActiveCustomer"
"0019000000oGEWYAA4","stage5","InactiveCustomer","ORIGINAL ADDITIONS BEAUTY PRODUCTS LTD - stage5 - InactiveCustomer"
"0019000000oGEToAAO","stage6","ActiveCustomer","INTERSTATE CHEMICAL COMPANY INC - stage6 - ActiveCustomer"
"0019000000nFzo6AAC","stage1","InactiveCustomer","Lake County - stage1 - InactiveCustomer"
"0019000000oGEj9AAG","stage2","ActiveCustomer","ANGELICA MARIA PALAFOX VELARDE - stage2 - ActiveCustomer"
"0019000000oGEb7AAG","stage3","InactiveCustomer","MARIO ENRIQUE GARZA GONZALEZ - stage3 - InactiveCustomer"
"0019000000oGEMBAA4","stage4","ActiveCustomer","Akzo Nobel Coatings Inc. - stage4 - ActiveCustomer"
"0019000000nFzo4AAC","stage5","InactiveCustomer","CADAM Inc. - stage5 - InactiveCustomer"
"0019000000oGEYXAA4","stage6","ActiveCustomer","Energizer Group Ltd - stage6 - ActiveCustomer"
"0019000000oGEG0AAO","stage1","InactiveCustomer","OBERBECK GRAIN CO - stage1 - InactiveCustomer"
"0019000000nFzmcAAC","stage2","ActiveCustomer","Galbreath Co - stage2 - ActiveCustomer"
"0019000000oGEbQAAW","stage3","InactiveCustomer","Soxland International Inc - stage3 - InactiveCustomer"
"0019000000oGEiJAAW","stage4","ActiveCustomer","ARC International Group Limited (FOB Ningbo) - stage4 - ActiveCustomer"
"0019000000oGEUKAA4","stage5","InactiveCustomer","ASMARA INTERNATIONAL LIMITED - stage5 - InactiveCustomer"
"0019000000oGEW6AAO","stage6","ActiveCustomer","B-Land(HK)Limited - stage6 - ActiveCustomer"
"0019000000oGEb8AAG","stage1","InactiveCustomer","FORTUNEX LIMITED - stage1 - InactiveCustomer"
"0019000000oGEWZAA4","stage2","ActiveCustomer","FPL Group Ltd - stage2 - ActiveCustomer"
"0019000000oGENjAAO","stage3","InactiveCustomer","Gainway International (Hong Kong) Co Ltd - stage3 - InactiveCustomer"
"0019000000oGEcpAAG","stage4","ActiveCustomer","GT tronics HK Limited - stage4 - ActiveCustomer"
"0019000000oGEQsAAO","stage5","InactiveCustomer","HANDER LINGERIE LIMITED - stage5 - InactiveCustomer"
"0019000000oGEG1AAO","stage6","ActiveCustomer","Heng Sheng Toys Factory HK Co Ltd - stage6 - ActiveCustomer"
"0019000000oGEgFAAW","stage1","InactiveCustomer","Hongkong Jiada Electronic Technology CO LTD - stage1 - InactiveCustomer"
"0019000000oGESTAA4","stage2","ActiveCustomer","K & N INTERNATIONAL LIMITED - stage2 - ActiveCustomer"
"0019000000oGEQNAA4","stage3","InactiveCustomer","Kaiser International Sales Services Limited - stage3 - InactiveCustomer"
"0019000000oGEYYAA4","stage4","ActiveCustomer","Kam Hing Plastics Manufacturing Co Ltd - stage4 - ActiveCustomer"
"0019000000oGEShAAO","stage5","InactiveCustomer","MASTER HOUSEHOLD LIMITED - stage5 - InactiveCustomer"
"0019000000oGEVsAAO","stage6","ActiveCustomer","New Chapter Trading Company - stage6 - ActiveCustomer"
"0019000000oGEcqAAG","stage1","InactiveCustomer","Origin Red Limited - stage1 - InactiveCustomer"
"0019000000oGEOWAA4","stage2","ActiveCustomer","PANODIC ELECTRIC (HONG KONG) LIMITED - stage2 - ActiveCustomer"
"0019000000oGEYZAA4","stage3","InactiveCustomer","PROTEK ELECTRONICS GROUP CO LIMITED - stage3 - InactiveCustomer"
"0019000000oGETIAA4","stage4","ActiveCustomer","RAINBOW GROUP LIMITED - stage4 - ActiveCustomer"
"0019000000oGETJAA4","stage5","InactiveCustomer","Rocketbox Hong Kong Limited - stage5 - InactiveCustomer"
"0019000000oGEPJAA4","stage6","ActiveCustomer","Stronger Plastic Co Ltd - stage6 - ActiveCustomer"
"0019000000nFzmjAAC","stage1","InactiveCustomer","Halcyon Assoc - stage1 - InactiveCustomer"
"0019000000oGENkAAO","stage2","ActiveCustomer","Superflora BV - stage2 - ActiveCustomer"
"0019000000oGEGMAA4","stage3","InactiveCustomer","Alcatel-Lucent Nederland BV - stage3 - InactiveCustomer"
"0019000000nFzmlAAC","stage4","ActiveCustomer","Hardy James G & Co - stage4 - ActiveCustomer"
"0019000000oGEYaAAO","stage5","InactiveCustomer","SHINTECH INC - stage5 - InactiveCustomer"
"0019000000nFzmzAAC","stage6","ActiveCustomer","Star Markets - stage6 - ActiveCustomer"
"0019000000oGEYbAAO","stage1","InactiveCustomer","Miberlan Industrial Co Ltd - stage1 - InactiveCustomer"
"0019000000nFzoEAAS","stage2","ActiveCustomer","Quaker Fashions - stage2 - ActiveCustomer"
"0019000000oGEQOAA4","stage3","InactiveCustomer","PROCINTAS SA DE CV - stage3 - InactiveCustomer"
"0019000000oGEgGAAW","stage4","ActiveCustomer","PUMP UP LINE MEXICO SA DE CV - stage4 - ActiveCustomer"
"0019000000oGEc9AAG","stage5","InactiveCustomer","King Fai Industrial (HK) Co Ltd - stage5 - InactiveCustomer"
"0019000000oGEMhAAO","stage6","ActiveCustomer","Zhejiang Haosheng Textile Co Ltd - stage6 - ActiveCustomer"
"0019000000oGEgHAAW","stage1","InactiveCustomer","CIL TEXTILES PVT LTD - stage1 - InactiveCustomer"
"0019000000oGEcrAAG","stage2","ActiveCustomer","CHS - stage2 - ActiveCustomer"
"0019000000oGEG2AAO","stage3","InactiveCustomer","WABASH VALLEY GRAIN - stage3 - InactiveCustomer"
"0019000000oGEOXAA4","stage4","ActiveCustomer","DORA BRENDA GARZA BARBOSA - stage4 - ActiveCustomer"
"0019000000oGEYcAAO","stage5","InactiveCustomer","ABC ALIMENTOS BOTANAS Y CEREALES SAPI DE CV - stage5 - InactiveCustomer"
"0019000000oGEgIAAW","stage6","ActiveCustomer","FABRICA DE POLIETILENO LA CIMA SA DE CV - stage6 - ActiveCustomer"
"0019000000oGETpAAO","stage1","InactiveCustomer","NOEMI GONZALEZ SOTELO - stage1 - InactiveCustomer"
"0019000000oGEcsAAG","stage2","ActiveCustomer","ROLLERS PLASTIC DE MEXICO SA DE CV - stage2 - ActiveCustomer"
"0019000000oGEWaAAO","stage3","InactiveCustomer","SEGURIDAD PRIVADA RESGUARDO DEL VALLE DE MEXICO SA - stage3 - InactiveCustomer"
"0019000000oGEFeAAO","stage4","ActiveCustomer","COMERCIALIZADORA MAC MA SA DE CV - stage4 - ActiveCustomer"
"0019000000oGELrAAO","stage5","InactiveCustomer","EUROELECTRICA SA DE CV - stage5 - InactiveCustomer"
"0019000000oGEjAAAW","stage6","ActiveCustomer","GRUPO ALFEREG SA DE CV - stage6 - ActiveCustomer"
"0019000000oGEXxAAO","stage1","InactiveCustomer","Orbitform Group - stage1 - InactiveCustomer"
"0019000000oGEYdAAO","stage2","ActiveCustomer","CONSOLIDATED GRAIN AND BARGE - stage2 - ActiveCustomer"
"0019000000oGELdAAO","stage3","InactiveCustomer","JERSEY COUNTY GRAIN - stage3 - InactiveCustomer"
"0019000000oGEbRAAW","stage4","ActiveCustomer","JERSEY FARMERS ELEVATOR INC - stage4 - ActiveCustomer"
"0019000000oGEPZAA4","stage5","InactiveCustomer","Jingjiang Eknit Co Ltd - stage5 - InactiveCustomer"
"0019000000oGEWbAAO","stage6","ActiveCustomer","YANGZHOU HUIMENG ARTS AND CRAFTS CO LTD - stage6 - ActiveCustomer"
"0019000000oGEG3AAO","stage1","InactiveCustomer","TASTYCHOCO FOODSTUFF COMPANY LIMITED - stage1 - InactiveCustomer"
"0019000000oGENRAA4","stage2","ActiveCustomer","Akzenta Vertriebs GmbH - stage2 - ActiveCustomer"
"0019000000oGEYeAAO","stage3","InactiveCustomer","WEST PLAINS COMPANY - stage3 - InactiveCustomer"
"0019000000oGEgJAAW","stage4","ActiveCustomer","Gul Ahmed Textile Mills Limited - stage4 - ActiveCustomer"
"0019000000nFzn1AAC","stage5","InactiveCustomer","Mall Side Sports - stage5 - InactiveCustomer"
"0019000000oGEPaAAO","stage6","ActiveCustomer","KILKENNY NUTRITIONAL BEVERAGES COMPANY LTD - stage6 - ActiveCustomer"
"0019000000oGEP0AAO","stage1","InactiveCustomer","St Andrews Bakers Ltd - stage1 - InactiveCustomer"
"0019000000oGEWcAAO","stage2","ActiveCustomer","CS INT'L HK TOYS LTD - stage2 - ActiveCustomer"
"0019000000oGERQAA4","stage3","InactiveCustomer","Maverick Manufacturing Limited - stage3 - InactiveCustomer"
"0019000000oGEMiAAO","stage4","ActiveCustomer","Collecta International Limited - stage4 - ActiveCustomer"
"0019000000oGEfBAAW","stage5","InactiveCustomer","JING RONG GARMENT MANUFACTORY LTD - stage5 - InactiveCustomer"
"0019000000oGEgKAAW","stage6","ActiveCustomer","JUST PREMIUMS (HONG KONG) LTD. - stage6 - ActiveCustomer"
"0019000000oGEbSAAW","stage1","InactiveCustomer","Panocean Hong Kong Development Limited - stage1 - InactiveCustomer"
"0019000000oGEctAAG","stage2","ActiveCustomer","FARM CHALK INVESTMENT LTD - stage2 - ActiveCustomer"
"0019000000oGEYfAAO","stage3","InactiveCustomer","CSBP Limited - stage3 - InactiveCustomer"
"0019000000oGEb9AAG","stage4","ActiveCustomer","ELECTRIFICACIONES Y CONSTRUCCIONES SIGMOND SA DE C - stage4 - ActiveCustomer"
"0019000000oGESBAA4","stage5","InactiveCustomer","OK AND GO - stage5 - InactiveCustomer"
"0019000000oGEYgAAO","stage6","ActiveCustomer","Constellation New Energy - Gas Division LLC - stage6 - ActiveCustomer"
"0019000000nFzmhAAC","stage1","InactiveCustomer","Fedder RP Corp - stage1 - InactiveCustomer"
"0019000000oGEerAAG","stage2","ActiveCustomer","Mathiesons Bakery Ltd - stage2 - ActiveCustomer"
"0019000000oGETqAAO","stage3","InactiveCustomer","EASTERN MANUFACTURING INC - stage3 - InactiveCustomer"
"0019000000nFznbAAC","stage4","ActiveCustomer","Magna Mill Products - stage4 - ActiveCustomer"
"0019000000oGEOYAA4","stage5","InactiveCustomer","REDCO TRANSPORT LD - stage5 - InactiveCustomer"
"0019000000nFznVAAS","stage6","ActiveCustomer","TDA Industries Inc - stage6 - ActiveCustomer"
"0019000000nFznSAAS","stage1","InactiveCustomer","Nash Direct - stage1 - InactiveCustomer"
"0019000000oGEbTAAW","stage2","ActiveCustomer","Unifor Brass Forgings Inc - stage2 - ActiveCustomer"
"0019000000oGEatAAG","stage3","InactiveCustomer","Moonside Trade and Finance Limited - stage3 - InactiveCustomer"
"0019000000nMl9PAAS","stage4","ActiveCustomer","Dickenson plc - stage4 - ActiveCustomer"
"0019000000oGEgLAAW","stage5","InactiveCustomer","PRODUCTORA Y COMERCIALIZADORA DE FERTILIZANTES S - stage5 - InactiveCustomer"
"0019000000oGEUVAA4","stage6","ActiveCustomer","SEEDS - stage6 - ActiveCustomer"
"0019000000oGETKAA4","stage1","InactiveCustomer","Arla Foods - stage1 - InactiveCustomer"
"0019000000oGEabAAG","stage2","ActiveCustomer","Scantex Europe Limited - stage2 - ActiveCustomer"
"0019000000oGEQdAAO","stage3","InactiveCustomer","INDUSTRIAS BOTANERAS RICAS S DE RL MI DE CV - stage3 - InactiveCustomer"
"0019000000oGEgMAAW","stage4","ActiveCustomer","JOSE ANTONIO TORRES CIENEGA - stage4 - ActiveCustomer"
"0019000000oGEXyAAO","stage5","InactiveCustomer","K P DISTRIBUIDORES S DE RL DE CV - stage5 - InactiveCustomer"
"0019000000oGERCAA4","stage6","ActiveCustomer","MARTINEZ LINARES LORENA - stage6 - ActiveCustomer"
"0019000000oGEVtAAO","stage1","InactiveCustomer","D RENEE DE MEXICO SA DE CV - stage1 - InactiveCustomer"
"0019000000oGEVJAA4","stage2","ActiveCustomer","JUGOS Y BEBIDAS DEL VALLE DE MEXICO SA DE CV - stage2 - ActiveCustomer"
"0019000000oGEcuAAG","stage3","InactiveCustomer","MANUFACTURAS LILY JR SA DE CV - stage3 - InactiveCustomer"
"0019000000nFzoOAAS","stage4","ActiveCustomer","Nardon Mfg Company Incorporated - stage4 - ActiveCustomer"
"0019000000oGEgNAAW","stage5","InactiveCustomer","S.C. Fondal Roit Srl - stage5 - InactiveCustomer"
"0019000000oGEQtAAO","stage6","ActiveCustomer","Central Mining America Group Corp - stage6 - ActiveCustomer"
"0019000000nFzniAAC","stage1","InactiveCustomer","Daisy of California - stage1 - InactiveCustomer"
"0019000000oGEQeAAO","stage2","ActiveCustomer","Dawson Public Power District - stage2 - ActiveCustomer"
"0019000000oGEMjAAO","stage3","InactiveCustomer","Clean Air Power Ltd - stage3 - InactiveCustomer"
"0019000000oGELsAAO","stage4","ActiveCustomer","TST Logistics - stage4 - ActiveCustomer"
"0019000000oGEUWAA4","stage5","InactiveCustomer","LITCHFIELD FARMERS GRAIN - stage5 - InactiveCustomer"
"0019000000oGEVaAAO","stage6","ActiveCustomer","Alpha Stamping Company - stage6 - ActiveCustomer"
"0019000000oGEcAAAW","stage1","InactiveCustomer","TRW Automotive (Varity Kelsey Hayes) - stage1 - InactiveCustomer"
"0019000000oGERwAAO","stage2","ActiveCustomer","Blues Clothing Limited - stage2 - ActiveCustomer"
"0019000000oGEYhAAO","stage3","InactiveCustomer","Hale & Hearty Foods Mexico Ltd - stage3 - InactiveCustomer"
"0019000000oGEXfAAO","stage4","ActiveCustomer","Maas International Ltd UK - stage4 - ActiveCustomer"
"0019000000oGEQPAA4","stage5","InactiveCustomer","AllergyZone LLC - stage5 - InactiveCustomer"
"0019000000oGEiKAAW","stage6","ActiveCustomer","GROUPE SEB FRANCE - stage6 - ActiveCustomer"
"0019000000nFznXAAS","stage1","InactiveCustomer","Harkavy Information Service - stage1 - InactiveCustomer"
"0019000000oGELtAAO","stage2","ActiveCustomer","Refresco Benelux BV - stage2 - ActiveCustomer"
"0019000000oGEfCAAW","stage3","InactiveCustomer","Bright Wood Corporation - stage3 - InactiveCustomer"
"0019000000nFzmfAAC","stage4","ActiveCustomer","Lafferty RF & Co Inc - stage4 - ActiveCustomer"
"0019000000oGEPsAAO","stage5","InactiveCustomer","Cape Australia Onshore Pty Ltd - stage5 - InactiveCustomer"
"0019000000oGEXgAAO","stage6","ActiveCustomer","Premier Foods T/A Silver - stage6 - ActiveCustomer"
"0019000000oGEcvAAG","stage1","InactiveCustomer","Primacy Industries Limited - stage1 - InactiveCustomer"
"0019000000oGEQQAA4","stage2","ActiveCustomer","Double D Foods Inc - stage2 - ActiveCustomer"
"0019000000oGEjwAAG","stage3","InactiveCustomer","Tony Downs Foods Co Inc - stage3 - InactiveCustomer"
"0019000000oGEVKAA4","stage4","ActiveCustomer","Mennies Machine Comapny - stage4 - ActiveCustomer"
"0019000000oGEgOAAW","stage5","InactiveCustomer","BATIMEX - stage5 - InactiveCustomer"
"0019000000oGETLAA4","stage6","ActiveCustomer","COMERCIALIZADORA S SA DE CV - stage6 - ActiveCustomer"
"0019000000nFzo8AAC","stage1","InactiveCustomer","Karabelas Furs Inc - stage1 - InactiveCustomer"
"0019000000oGEPtAAO","stage2","ActiveCustomer","THE ANDERSONS INC - stage2 - ActiveCustomer"
"0019000000oGERDAA4","stage3","InactiveCustomer","MASSIMO ZANETTI BEVERAGE MEXICO SA DE CV - stage3 - InactiveCustomer"
"0019000000nFzo0AAC","stage4","ActiveCustomer","Madonna Construction Co - stage4 - ActiveCustomer"
"0019000000oGEW7AAO","stage5","InactiveCustomer","Pittsburgh Forest Products Inc - stage5 - InactiveCustomer"
"0019000000oGEV6AAO","stage6","ActiveCustomer","HOT TOPIC AUSTRALIA PTY LTD - stage6 - ActiveCustomer"
"0019000000nFzmsAAC","stage1","InactiveCustomer","AAR Corp Hardware Abscoa Division - stage1 - InactiveCustomer"
"0019000000nFznIAAS","stage2","ActiveCustomer","Abacus Programming Corporation - stage2 - ActiveCustomer"
"0019000000nFzoPAAS","stage3","InactiveCustomer","Abberley Kooiman - stage3 - InactiveCustomer"
"0019000000nFzn2AAC","stage4","ActiveCustomer","Abbett Electric Corp - stage4 - ActiveCustomer"
"0019000000nFznPAAS","stage5","InactiveCustomer","Abbey Press Inc - stage5 - InactiveCustomer"
"0019000000oGEgPAAW","stage6","ActiveCustomer","EQUIPOS Y SERVICIOS PARA NEGOCIOS SA DE CV - stage6 - ActiveCustomer"
"0019000000oGEP1AAO","stage1","InactiveCustomer","GAMA MODELS SCP - stage1 - InactiveCustomer"
"0019000000oGESiAAO","stage2","ActiveCustomer","LORENA BEATRIZ CASTILLO VAZQUEZ - stage2 - ActiveCustomer"
"0019000000oGEcBAAW","stage3","InactiveCustomer","MARIA DEL ROSARIO VELAZCO VELEZ - stage3 - InactiveCustomer"
"0019000000oGEP2AAO","stage4","ActiveCustomer","ROSA MAGALLY BASTERIS PEREZ - stage4 - ActiveCustomer"
"0019000000oGEG6AAO","stage5","InactiveCustomer","SERVIDORA QUIMICA PG DEL SURESTE SA DE CV - stage5 - InactiveCustomer"
"0019000000oGEPKAA4","stage6","ActiveCustomer","TRANSPORTES ESPECIALIZADOS GAL SA DE CV - stage6 - ActiveCustomer"
"0019000000oGEgQAAW","stage1","InactiveCustomer","Arnott Inc - stage1 - InactiveCustomer"
"0019000000oGEgRAAW","stage2","ActiveCustomer","ANTONIO MORALES BARRON - stage2 - ActiveCustomer"
"0019000000oGEFfAAO","stage3","InactiveCustomer","EMILIO SOTO PACHECO - stage3 - InactiveCustomer"
"0019000000oGEgSAAW","stage4","ActiveCustomer","ISIDRO ALBERTO ESCALANTE VALDEZ - stage4 - ActiveCustomer"
"0019000000oGEOZAA4","stage5","InactiveCustomer","MIGUEL ANGEL VELARDE RIVERA - stage5 - InactiveCustomer"
"0019000000oGEYiAAO","stage6","ActiveCustomer","MORA GRIJALVA CLARISA - stage6 - ActiveCustomer"
"0019000000oGEGNAA4","stage1","InactiveCustomer","MOVALDI GROUP SC - stage1 - InactiveCustomer"
"0019000000oGETMAA4","stage2","ActiveCustomer","POLIURETANOS Y ELASTOMERICOS S DE RL DE CV - stage2 - ActiveCustomer"
"0019000000oGEULAA4","stage3","InactiveCustomer","PRODUCTOS HOLA DEL NOROESTE SA DE CV - stage3 - InactiveCustomer"
"0019000000oGENzAAO","stage4","ActiveCustomer","SERGIO ESQUER GARCIA - stage4 - ActiveCustomer"
"0019000000oGEYjAAO","stage5","InactiveCustomer","1 TC SA DE CV - stage5 - InactiveCustomer"
"0019000000oGERRAA4","stage6","ActiveCustomer","A B COMUNICACION SA DE CV - stage6 - ActiveCustomer"
"0019000000oGEWdAAO","stage1","InactiveCustomer","ABASTECEDOR HOSPITALARIO DEL - stage1 - InactiveCustomer"
"0019000000oGEYkAAO","stage2","ActiveCustomer","ABASTECEDORA DE METALES Y DERIVADOS SA DE CV - stage2 - ActiveCustomer"
"0019000000oGELuAAO","stage3","InactiveCustomer","ABASTECEDORA DE VALVULAS INTRUMENT - stage3 - InactiveCustomer"
"0019000000oGETNAA4","stage4","ActiveCustomer","ABOYTES AGUILAR GABRIEL - stage4 - ActiveCustomer"
"0019000000oGEYlAAO","stage5","InactiveCustomer","ACEROS Y GALVANIZADOS DE CELAYA SA - stage5 - InactiveCustomer"
"0019000000oGENSAA4","stage6","ActiveCustomer","ACEROS Y SIMILARES S.A. DE C.V. - stage6 - ActiveCustomer"
"0019000000oGEFgAAO","stage1","InactiveCustomer","ACEVEDO BOLIO JOSE IGNACIO - stage1 - InactiveCustomer"
"0019000000oGEibAAG","stage2","ActiveCustomer","ADEGERMEX SA DE CV - stage2 - ActiveCustomer"
"0019000000oGEPLAA4","stage3","InactiveCustomer","ADITIVOS Y PREMEZCLAS - stage3 - InactiveCustomer"
"0019000000oGEMkAAO","stage4","ActiveCustomer","AGENCIA SPHARTA SA DE CV - stage4 - ActiveCustomer"
"0019000000oGEcwAAG","stage5","InactiveCustomer","AGMOTION SA DE CV - stage5 - InactiveCustomer"
"0019000000oGELeAAO","stage6","ActiveCustomer","AGRICULTURA DINAMICA INTEGRAL SA DE - stage6 - ActiveCustomer"
"0019000000oGEfOAAW","stage1","InactiveCustomer","AGROINSUMOS DISAGRO SA DE CV - stage1 - InactiveCustomer"
"0019000000oGEO0AAO","stage2","ActiveCustomer","AGROMIELES DE VERACRUZ S DE RL DE C - stage2 - ActiveCustomer"
"0019000000oGEUXAA4","stage3","InactiveCustomer","AGROPECUARIA  A.D.L.T. S.A. DE C.V. - stage3 - InactiveCustomer"
"0019000000oGEYmAAO","stage4","ActiveCustomer","AGROSERVICIOS EL JARRON AZUL SPR DE - stage4 - ActiveCustomer"
"0019000000oGEGOAA4","stage5","InactiveCustomer","AGUA Y HIELO PUERTO MEXICO S.A. DE - stage5 - InactiveCustomer"
"0019000000oGEgTAAW","stage6","ActiveCustomer","AIRECO S.A DE C.V - stage6 - ActiveCustomer"
"0019000000oGEOaAAO","stage1","InactiveCustomer","AISLOPUERTAS SA DE CV - stage1 - InactiveCustomer"
"0019000000oGEWeAAO","stage2","ActiveCustomer","ALATORRE PEREZ SAMUEL - stage2 - ActiveCustomer"
"0019000000oGEPbAAO","stage3","InactiveCustomer","ALATORRE ZALDIVAR LIBRADO EDUARDO - stage3 - InactiveCustomer"
"0019000000oGEUMAA4","stage4","ActiveCustomer","ALCAMPO DEL BAJIO S.A. DE C.V. - stage4 - ActiveCustomer"
"0019000000oGEgUAAW","stage5","InactiveCustomer","ALCOHOLES Y MELAZAS DE MEXICO SA DE - stage5 - InactiveCustomer"
"0019000000oGEcxAAG","stage6","ActiveCustomer","ALDAMA RENERO ROMELL WALTER - stage6 - ActiveCustomer"
"0019000000oGEgVAAW","stage1","InactiveCustomer","ALI MENDIOLA CARLOS NAIM - stage1 - InactiveCustomer"
"0019000000oGETrAAO","stage2","ActiveCustomer","ALIMENTOS APH S DE RL DE MI - stage2 - ActiveCustomer"
"0019000000oGETsAAO","stage3","InactiveCustomer","ALIMENTOS BALANCEADOS PENJAMO SA DE - stage3 - InactiveCustomer"
"0019000000oGEUpAAO","stage4","ActiveCustomer","ALIMENTOS CALIDAD OPTIMA SA DE CV - stage4 - ActiveCustomer"
"0019000000oGETOAA4","stage5","InactiveCustomer","ALIMENTOS RAY SA DE CV - stage5 - InactiveCustomer"
"0019000000oGEcyAAG","stage6","ActiveCustomer","ALINSUMOS SA DE CV - stage6 - ActiveCustomer"
"0019000000oGEMCAA4","stage1","InactiveCustomer","ALMA JAYET BENCOMO LARA - stage1 - InactiveCustomer"
"0019000000oGEgWAAW","stage2","ActiveCustomer","ALMACEN DE GRANOS DE LA PENINSULA S - stage2 - ActiveCustomer"
"0019000000oGEQfAAO","stage3","InactiveCustomer","ALMACENES REFRIGERADOS CONSOLIDADOS - stage3 - InactiveCustomer"
"0019000000oGEczAAG","stage4","ActiveCustomer","ALMAGUER JUAREZ CAIN - stage4 - ActiveCustomer"
"0019000000oGEVuAAO","stage5","InactiveCustomer","ALMEIDA OROZCO HECTOR JAVIER - stage5 - InactiveCustomer"
"0019000000oGEYnAAO","stage6","ActiveCustomer","ALMHER Y ASOCIADOS SC - stage6 - ActiveCustomer"
"0019000000oGEbAAAW","stage1","InactiveCustomer","ALRI S.A. DE C.V. - stage1 - InactiveCustomer"
"0019000000oGEWfAAO","stage2","ActiveCustomer","ALTAMIRA MEZA MARTHA - stage2 - ActiveCustomer"
"0019000000oGEgXAAW","stage3","InactiveCustomer","ALVAREZ GONZALEZ ENRIQUE - stage3 - InactiveCustomer"
"0019000000oGEP3AAO","stage4","ActiveCustomer","ALVAREZ LUCERO MAXIMINO - stage4 - ActiveCustomer"
"0019000000oGEgYAAW","stage5","InactiveCustomer","ALVAREZ ROBLEDO EDUARDO - stage5 - InactiveCustomer"
"0019000000oGEaLAAW","stage6","ActiveCustomer","AMADA PROCESOS INDUSTRIALES SA DE CV - stage6 - ActiveCustomer"
"0019000000oGEYoAAO","stage1","InactiveCustomer","AMECAR AC - stage1 - InactiveCustomer"
"0019000000oGEWgAAO","stage2","ActiveCustomer","AMERICANA MEXICANA DE TELECOMUNICAC - stage2 - ActiveCustomer"
"0019000000oGEYpAAO","stage3","InactiveCustomer","ANALITICA DEL NOROESTES.A DE C.V. - stage3 - InactiveCustomer"
