JBCXM__Account__r.Data_ExternalId__c,JBCXM__Stage__r.JBCXM__SystemName__c,JBCXM__Status__r.JBCXM__SystemName__c,JBCXM__Tag__c,JBCXM__ASV__c,JBCXM__MRR__c,JBCXM__OneTimeRevenue__c,JBCXM__Users__c,JBCXM__OriginalContractDate__c,JBCXM__NextRenewalDate__c,JBCXM__Comments__c,Cdate1__c,Cdate2__c,Cdate3__c,Ctext1__c,Ctext2__c,Ctext3__c,CdateTime1__c,CdateTime2__c,CdateTime3__c,Cboolean1__c,Cboolean2__c,Cboolean3__c,CtextArea1__c,CtextArea2__c,CtextArea3__c,Cnumber1__c,Cnumber2__c,Cnumber3__c
RcustomRule Account 69,stage3,ActiveCustomer,Established,10000,9999,100000,50,-10,10,Account Name : CustomRule Account 1 Status : ActiveCustomer,-60,-15,-15,RcustomRule Account 69,Account Name : CustomRule Account 1 Status : ActiveCustomer,x@gmail.com,4,4,4,TRUE,TRUE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ActiveCustomer,x@gmail.com,1002,,
ScustomRule Account 70,stage4,InactiveCustomer,Inactive,100000,99999,199.3,10,0,0,Account Name : CustomRule Account 1 Status : ActiveCustomer,-30,-10,-10,ScustomRule Account 70,Account Name : CustomRule Account 2 Status : ActiveCustomer,p@gmail.com,5,3,3,TRUE,FALSE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,InactiveCustomer,p@gmail.com,102,,
TcustomRule Account 71,stage5,ChurnCustomer,Onboarding,0,0,12,5,-60,60,Account Name : CustomRule Account 1 Status : ActiveCustomer,-15,0,0,TcustomRule Account 71,Account Name : CustomRule Account 3 Status : ActiveCustomer,t@gmail.com,1,4,4,FALSE,TRUE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ChurnCustomer,t@gmail.com,52,,
UcustomRule Account 72,stage6,ActiveCustomer,Up-sell,100,99,78.8,0,-30,30,Account Name : CustomRule Account 1 Status : ActiveCustomer,-10,-60,-60,UcustomRule Account 72,Account Name : CustomRule Account 4 Status : ActiveCustomer,x@gmail.com,2,5,5,FALSE,TRUE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ActiveCustomer,x@gmail.com,12,,
VcustomRule Account 73,stage1,InactiveCustomer,Active,1000,999,49.5,1000,-15,15,Account Name : CustomRule Account 1 Status : ActiveCustomer,0,-30,-30,VcustomRule Account 73,Account Name : CustomRule Account 1 Status : ActiveCustomer,p@gmail.com,3,1,1,TRUE,TRUE,FALSE,Account Name : CustomRule Account 1 Status : ActiveCustomer,InactiveCustomer,p@gmail.com,7,,
WcustomRule Account 74,stage2,ChurnCustomer,Churned,10000,9999,100000,100,-10,10,Account Name : CustomRule Account 1 Status : ActiveCustomer,-60,-15,-60,WcustomRule Account 74,Account Name : CustomRule Account 2 Status : ActiveCustomer,t@gmail.com,4,2,2,FALSE,TRUE,FALSE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ChurnCustomer,t@gmail.com,2,,
XcustomRule Account 75,stage3,ActiveCustomer,Established,100000,99999,199.3,50,0,0,Account Name : CustomRule Account 1 Status : ActiveCustomer,-30,-30,-30,XcustomRule Account 75,Account Name : CustomRule Account 3 Status : ActiveCustomer,x@gmail.com,5,3,3,FALSE,FALSE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ActiveCustomer,x@gmail.com,1002,,
YcustomRule Account 76,stage4,InactiveCustomer,Inactive,0,0,12,10,-60,60,Account Name : CustomRule Account 1 Status : ActiveCustomer,-15,-15,-15,YcustomRule Account 76,Account Name : CustomRule Account 4 Status : ActiveCustomer,p@gmail.com,1,4,4,TRUE,FALSE,FALSE,Account Name : CustomRule Account 1 Status : ActiveCustomer,InactiveCustomer,p@gmail.com,1003,,
ZcustomRule Account 77,stage5,ChurnCustomer,Onboarding,100,99,78.8,5,-30,30,Account Name : CustomRule Account 1 Status : ActiveCustomer,-30,-10,-10,ZcustomRule Account 77,Account Name : CustomRule Account 1 Status : ActiveCustomer,t@gmail.com,2,5,5,TRUE,TRUE,FALSE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ChurnCustomer,t@gmail.com,103,,
GcustomRule Account 78,stage6,ActiveCustomer,Up-sell,1000,999,49.5,0,-15,15,Account Name : CustomRule Account 1 Status : ActiveCustomer,-15,0,0,GcustomRule Account 78,Account Name : CustomRule Account 2 Status : ActiveCustomer,x@gmail.com,3,1,1,TRUE,FALSE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ActiveCustomer,x@gmail.com,53,,
GcustomRule Account 79,stage1,InactiveCustomer,Active,10000,9999,100000,1000,-10,10,Account Name : CustomRule Account 1 Status : ActiveCustomer,-10,-60,-60,GcustomRule Account 79,Account Name : CustomRule Account 3 Status : ActiveCustomer,p@gmail.com,4,2,2,TRUE,FALSE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,InactiveCustomer,p@gmail.com,13,,
GcustomRule Account 80,stage2,ChurnCustomer,Churned,100000,99999,199.3,100,0,0,Account Name : CustomRule Account 1 Status : ActiveCustomer,0,-10,-30,GcustomRule Account 80,Account Name : CustomRule Account 4 Status : ActiveCustomer,t@gmail.com,2,3,3,FALSE,TRUE,TRUE,Account Name : CustomRule Account 1 Status : ActiveCustomer,ChurnCustomer,t@gmail.com,8,,
,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,
