Account,Name,Date,InstanceId,InstanceName,Page_Visits__c,Page_Views__c,No_of_Report_Run__c,Files_Downloaded__c,Emails_Sent_Count__c,No_of_Campaigns__c,Active_Users__c,DB_Size__c,Leads__c
DeeTag USA,INSTANCELEVEL,-9,Instance 1,DeeTag USA - Instance 1,3763,10305,7099,6212,767,675,58,1230,1916
Lakeland Village,INSTANCELEVEL,-9,Instance 1,Lakeland Village - Instance 1,2131,3791,4699,10452,595,639,188,1358,1506
CHAOAN SWEET BEST FOOD CO LTD,INSTANCELEVEL,-9,Instance 1,CHAOAN SWEET BEST FOOD CO LTD - Instance 1,3769,9807,10718,1283,593,945,153,1198,1664
Cadbury Beverages Div Cadbury,INSTANCELEVEL,-9,Instance 1,Cadbury Beverages Div Cadbury - Instance 1,5177,8010,10603,10442,397,682,341,1376,2215
Do not Use1,INSTANCELEVEL,-9,Instance 1,Do not Use1 - Instance 1,10739,2785,6524,4725,717,762,6,1855,1686
Oil Chem Research Corp,INSTANCELEVEL,-9,Instance 1,Oil Chem Research Corp - Instance 1,11167,11158,2300,10837,771,898,144,1923,1979
LICK ELEVATOR,INSTANCELEVEL,-9,Instance 1,LICK ELEVATOR - Instance 1,343,5981,1831,11219,327,992,322,1538,2262
Quanex Screens LLC,INSTANCELEVEL,-9,Instance 1,Quanex Screens LLC - Instance 1,5547,8694,8045,7805,375,1062,225,1785,1520
A and T unlimit Limited,INSTANCELEVEL,-9,Instance 2,A and T unlimit Limited - Instance 2,255,1818,470,6904,585,699,73,1815,1803
Sienna Gold Ltd,INSTANCELEVEL,-9,Instance 2,Sienna Gold Ltd - Instance 2,4196,9934,7041,5346,662,777,70,1247,2207
COLD EXPRESS SA DE CV,INSTANCELEVEL,-9,Instance 2,COLD EXPRESS SA DE CV - Instance 2,4088,247,3535,1530,753,993,93,1026,1545
Murex N.A. Ltd,INSTANCELEVEL,-9,Instance 2,Murex N.A. Ltd - Instance 2,4783,2311,5281,8918,482,1083,360,1924,1895
Via Systems,INSTANCELEVEL,-9,Instance 2,Via Systems - Instance 2,10936,10457,1168,8470,527,1032,372,1227,1717
DAKTEL COMUNICACIONES SA DE CV,INSTANCELEVEL,-9,Instance 2,DAKTEL COMUNICACIONES SA DE CV - Instance 2,9027,164,10903,984,482,1049,240,1920,2312
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,INSTANCELEVEL,-9,Instance 2,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - Instance 2,9671,7585,11842,1214,575,727,239,1851,2218
OBED GERARDO ARELLANO GUTIERREZ,INSTANCELEVEL,-9,Instance 2,OBED GERARDO ARELLANO GUTIERREZ - Instance 2,2081,1906,11167,2301,737,851,3,1272,1738
REFRIGERACION COMER AGROPECU,INSTANCELEVEL,-9,Instance 2,REFRIGERACION COMER AGROPECU - Instance 2,8551,2695,10324,1977,443,891,324,1235,2137
Anunay Fab Ltd,INSTANCELEVEL,-9,Instance 2,Anunay Fab Ltd - Instance 2,3337,3757,8920,6449,689,821,447,1892,2073
SUPER URECOAT INDUSTRIES,INSTANCELEVEL,-9,Instance 2,SUPER URECOAT INDUSTRIES - Instance 2,8539,4889,10164,11487,774,652,338,1421,2186
Jadow B & Sons Inc,INSTANCELEVEL,-9,Instance 2,Jadow B & Sons Inc - Instance 2,1036,9262,3065,9664,747,764,5,1243,1640
Republic of Nauru Phosphate (RONPHOS) Corporation,INSTANCELEVEL,-9,Instance 2,Republic of Nauru Phosphate (RONPHOS) Corporation - Instance 2,9091,3033,10964,7771,585,1084,142,1548,1928
CARHLUC CARROCERIAS Y REMOLQUES SA DE CV,INSTANCELEVEL,-9,Instance 2,CARHLUC CARROCERIAS Y REMOLQUES SA DE CV - Instance 2,695,10134,11858,1891,410,908,279,1929,2314
Alltech Automotive LLC,INSTANCELEVEL,-9,Instance 2,Alltech Automotive LLC - Instance 2,11795,10614,7658,11537,527,733,69,1554,1558
DALE VALOR A MEXICO SC,INSTANCELEVEL,-9,Instance 2,DALE VALOR A MEXICO SC - Instance 2,4345,8619,8845,6292,658,688,392,1819,1723
SPIN MASTER MEXICO SA DE CV,INSTANCELEVEL,-9,Instance 2,SPIN MASTER MEXICO SA DE CV - Instance 2,7258,253,9568,2130,473,837,164,1229,1886
ATTEBURY GRAIN,INSTANCELEVEL,-9,Instance 2,ATTEBURY GRAIN - Instance 2,11933,9106,7670,3702,481,929,411,1877,1603
Vicor,INSTANCELEVEL,-9,Instance 2,Vicor - Instance 2,6757,6293,9041,11914,557,654,329,1488,1787
Baja Inc,INSTANCELEVEL,-9,Instance 2,Baja Inc - Instance 2,350,6591,9056,4628,330,1085,243,1329,2094
National Assn of Printing Ink,INSTANCELEVEL,-9,Instance 2,National Assn of Printing Ink - Instance 2,11166,7377,156,5793,778,640,412,1605,2065
MA PATRICIA ROSALES HERNANDEZ,INSTANCELEVEL,-9,Instance 2,MA PATRICIA ROSALES HERNANDEZ - Instance 2,4512,10619,4332,6464,610,639,292,1020,2365
EVERTIS DE MEXICO SA DE CV,INSTANCELEVEL,-9,Instance 2,EVERTIS DE MEXICO SA DE CV - Instance 2,10446,4616,10313,2491,618,895,137,1082,1523
GENERAL DE CERAMICA S A DE C V,INSTANCELEVEL,-9,Instance 2,GENERAL DE CERAMICA S A DE C V - Instance 2,3423,2637,2641,5693,500,780,41,1279,2251
GRUPO VACTREK SA DE CV,INSTANCELEVEL,-9,Instance 2,GRUPO VACTREK SA DE CV - Instance 2,11152,10074,1283,1676,646,740,179,1850,2367
JUAN ANGEL FLORES AGUIRRE,INSTANCELEVEL,-9,Instance 2,JUAN ANGEL FLORES AGUIRRE - Instance 2,10726,1305,5013,7149,603,750,381,1653,1591
Triumph Tool NC Inc,INSTANCELEVEL,-9,Instance 2,Triumph Tool NC Inc - Instance 2,527,8729,11046,10301,761,818,92,1302,1880
Darta NV,INSTANCELEVEL,-9,Instance 2,Darta NV - Instance 2,7473,3168,5978,6413,699,650,259,1847,1830
COTY UK LTD,INSTANCELEVEL,-9,Instance 2,COTY UK LTD - Instance 2,9772,1117,689,2682,643,881,337,1063,1893
Deal Partners Limited,INSTANCELEVEL,-9,Instance 2,Deal Partners Limited - Instance 2,7244,10361,6645,11862,729,862,47,1459,2010
IRISA ADHESIVES CORPORATION SA DE CV,INSTANCELEVEL,-9,Instance 2,IRISA ADHESIVES CORPORATION SA DE CV - Instance 2,10206,2507,1634,8531,348,831,427,1491,1809
BOESDORFER & BOESDORFER INC,INSTANCELEVEL,-9,Instance 2,BOESDORFER & BOESDORFER INC - Instance 2,11543,129,1275,7750,523,768,477,1903,1668
GKN Sinter Metals,INSTANCELEVEL,-9,Instance 2,GKN Sinter Metals - Instance 2,6850,1704,11291,2653,378,633,130,1249,2326
AGENCE PRESSE,INSTANCELEVEL,-9,Instance 2,AGENCE PRESSE - Instance 2,9877,3489,2995,6885,383,727,177,1525,2304
Vesco Foods Pty Ltd,INSTANCELEVEL,-9,Instance 2,Vesco Foods Pty Ltd - Instance 2,3860,2890,5041,8390,652,808,12,1994,1988
AUREA SOFTWARE INC,INSTANCELEVEL,-9,Instance 2,AUREA SOFTWARE INC - Instance 2,3225,1513,11847,8815,712,813,257,1289,1852
Ocean Sports Wear,INSTANCELEVEL,-9,Instance 2,Ocean Sports Wear - Instance 2,3135,9614,2437,6853,577,604,458,1647,2416
NOVA INSTRUMENTS SERVICE SA DE CV,INSTANCELEVEL,-9,Instance 2,NOVA INSTRUMENTS SERVICE SA DE CV - Instance 2,6077,5387,7795,3484,421,1070,28,1004,1925
RAUL MORALES RAMIREZ,INSTANCELEVEL,-9,Instance 2,RAUL MORALES RAMIREZ - Instance 2,895,4946,8454,10056,455,650,404,1400,1971
STANLEY BOSTITCH SA DE CV,INSTANCELEVEL,-9,Instance 2,STANLEY BOSTITCH SA DE CV - Instance 2,9720,9333,1310,5001,347,853,286,1567,1839
UNIFOODS SA DE CV,INSTANCELEVEL,-9,Instance 2,UNIFOODS SA DE CV - Instance 2,10781,10167,1637,4194,482,983,45,1440,2018
TOMAS MARTINEZ PATLAN,INSTANCELEVEL,-9,Instance 2,TOMAS MARTINEZ PATLAN - Instance 2,9599,719,1500,7296,560,938,295,1983,2019
JARDINS DE NORTENE,INSTANCELEVEL,-9,Instance 2,JARDINS DE NORTENE - Instance 2,1137,6204,11000,4189,679,693,4,1493,2156
Terry Store age spa,INSTANCELEVEL,-9,Instance 2,Terry Store age spa - Instance 2,1646,5764,4617,9137,726,754,44,1894,2140
Goldie Marketing Pty Ltd,INSTANCELEVEL,-9,Instance 2,Goldie Marketing Pty Ltd - Instance 2,6330,3183,4350,5247,319,667,379,1814,1820
ST. CLAIR SERVICE,INSTANCELEVEL,-9,Instance 2,ST. CLAIR SERVICE - Instance 2,9570,9833,4900,7104,359,1078,124,1654,2031
Scottish Shellfish Marketing Group Ltd,INSTANCELEVEL,-9,Instance 2,Scottish Shellfish Marketing Group Ltd - Instance 2,100,11564,2389,6319,653,673,412,1535,1541
CARNES KM SA DE CV,INSTANCELEVEL,-9,Instance 2,CARNES KM SA DE CV - Instance 2,8717,2912,6069,11545,619,905,320,1457,2371
COMERCIALIZADORA UNICOR SA DE CV,INSTANCELEVEL,-9,Instance 2,COMERCIALIZADORA UNICOR SA DE CV - Instance 2,755,5647,3990,11321,453,716,366,1137,1843
COMNET SA DE CV,INSTANCELEVEL,-9,Instance 2,COMNET SA DE CV - Instance 2,2440,2617,934,9792,396,922,354,1199,1590
DISTRIB Y COMERC KOWALSKY SA DE CV,INSTANCELEVEL,-9,Instance 2,DISTRIB Y COMERC KOWALSKY SA DE CV - Instance 2,2441,3840,854,4732,694,1008,209,1246,1532
FRUITCORP SA DE CV,INSTANCELEVEL,-9,Instance 2,FRUITCORP SA DE CV - Instance 2,4428,4852,5010,1845,469,807,422,1933,1679
ORIGINALES THELVA SA DE CV,INSTANCELEVEL,-9,Instance 2,ORIGINALES THELVA SA DE CV - Instance 2,5939,7725,3109,220,513,897,491,1807,2089
SISTEMAS MECANICOS E HIDRAULICOS SA DE CV,INSTANCELEVEL,-9,Instance 2,SISTEMAS MECANICOS E HIDRAULICOS SA DE CV - Instance 2,136,6320,3982,517,559,1065,58,1092,1730
COMERCIALIZADORA RIMATOM SA de CV,INSTANCELEVEL,-9,Instance 2,COMERCIALIZADORA RIMATOM SA de CV - Instance 2,8634,4660,7459,5628,487,746,149,1163,1528
K & S Contractors Supply Co,INSTANCELEVEL,-9,Instance 2,K & S Contractors Supply Co - Instance 2,8110,8602,2041,698,505,909,334,1405,2250
Tioga Hardwoods Inc,INSTANCELEVEL,-9,Instance 2,Tioga Hardwoods Inc - Instance 2,10056,9554,6043,8067,323,777,41,1651,2341
GHCL Limited,INSTANCELEVEL,-9,Instance 2,GHCL Limited - Instance 2,2383,7411,11502,8316,694,800,353,1948,1543
Motion Industries Inc.,INSTANCELEVEL,-9,Instance 2,Motion Industries Inc. - Instance 2,263,11721,2285,9285,518,628,455,1510,2379
SUKETU ORGANICS PRIVATE LIMITED,INSTANCELEVEL,-9,Instance 2,SUKETU ORGANICS PRIVATE LIMITED - Instance 2,10551,4415,3591,10869,503,639,135,1415,1581
Quantum Foods,INSTANCELEVEL,-9,Instance 2,Quantum Foods - Instance 2,11190,8839,5974,8608,352,812,224,1427,2056
Family Magazine,INSTANCELEVEL,-9,Instance 2,Family Magazine - Instance 2,10227,8296,3248,7588,350,752,119,1095,1534
PROGRESSIVE AG PARTNERS,INSTANCELEVEL,-9,Instance 2,PROGRESSIVE AG PARTNERS - Instance 2,2042,4278,11107,4414,398,704,212,1217,1924
Innovative Laser Inc,INSTANCELEVEL,-9,Instance 2,Innovative Laser Inc - Instance 2,1091,4007,9023,7112,435,957,266,1674,2462
Addis Housewares Ltd,INSTANCELEVEL,-9,Instance 2,Addis Housewares Ltd - Instance 2,474,5269,11837,857,445,1021,400,1594,1697
SIGMADIS BRIGNAIS,INSTANCELEVEL,-9,Instance 2,SIGMADIS BRIGNAIS - Instance 2,2969,3225,129,1749,313,878,477,1916,2276
APLNG,INSTANCELEVEL,-9,Instance 2,APLNG - Instance 2,1482,5247,8066,6338,453,753,192,1345,2208
Quince Hungary Kft,INSTANCELEVEL,-9,Instance 2,Quince Hungary Kft - Instance 2,7758,3887,9318,4918,646,890,259,1611,2196
Jandel Scientific Inc.,INSTANCELEVEL,-9,Instance 2,Jandel Scientific Inc. - Instance 2,10489,3349,6721,3845,416,860,3,1221,1551
Viking Tool & Steel,INSTANCELEVEL,-9,Instance 2,Viking Tool & Steel - Instance 2,7155,3405,6388,11865,591,746,93,1307,1534
HIELO Y REFRIGERACION DE CABORCA SA DE CV,INSTANCELEVEL,-9,Instance 2,HIELO Y REFRIGERACION DE CABORCA SA DE CV - Instance 2,7509,4593,4852,173,762,811,239,1184,1554
MAPE USA,INSTANCELEVEL,-9,Instance 2,MAPE USA - Instance 2,11006,5423,1246,4666,384,797,291,1260,2331
CONSORCIO DE ALIM DEL CARIBE SA DE CV,INSTANCELEVEL,-9,Instance 2,CONSORCIO DE ALIM DEL CARIBE SA DE CV - Instance 2,1111,4198,6220,7910,576,725,128,1584,1700
PRODUCCIONES AGRICOLA DE TABASCO SA CV,INSTANCELEVEL,-9,Instance 2,PRODUCCIONES AGRICOLA DE TABASCO SA CV - Instance 2,11670,5310,1072,9449,511,949,475,1056,1993
RICARDO ALEJANDRO DE LEON PEDROZA,INSTANCELEVEL,-9,Instance 2,RICARDO ALEJANDRO DE LEON PEDROZA - Instance 2,2971,7655,9093,8990,495,1001,93,1465,1809
M&M SERVICE CO,INSTANCELEVEL,-9,Instance 2,M&M SERVICE CO - Instance 2,2362,9616,7482,4278,315,1002,196,1582,1676
CARROLLTON FARMERS ELEVATOR CO,INSTANCELEVEL,-9,Instance 2,CARROLLTON FARMERS ELEVATOR CO - Instance 2,1084,7379,9887,5957,324,996,462,1105,1865
L and P Financial Services Co,INSTANCELEVEL,-9,Instance 2,L and P Financial Services Co - Instance 2,3719,10918,1016,3982,792,947,281,1301,1675
Ingenieria y Maquinaria de Guadalupe SA de CV,INSTANCELEVEL,-9,Instance 2,Ingenieria y Maquinaria de Guadalupe SA de CV - Instance 2,4601,8667,8971,11781,315,677,348,1648,1560
CATMADER SL,INSTANCELEVEL,-9,Instance 2,CATMADER SL - Instance 2,794,6355,7226,6158,687,1070,63,1387,2341
Tekno Inc,INSTANCELEVEL,-9,Instance 2,Tekno Inc - Instance 2,7742,1199,7164,2157,745,717,325,1084,1580
LUIS MANUEL REYES VAZQUEZ,INSTANCELEVEL,-9,Instance 2,LUIS MANUEL REYES VAZQUEZ - Instance 2,463,954,7390,384,643,1028,354,1362,1591
COMPUESPECIALISTAS DE SONORA SA DE CV,INSTANCELEVEL,-9,Instance 2,COMPUESPECIALISTAS DE SONORA SA DE CV - Instance 2,724,8030,2225,1631,353,701,454,1314,1959
CRIBAS Y ARRENDAMIENTOS SA DE CV,INSTANCELEVEL,-9,Instance 2,CRIBAS Y ARRENDAMIENTOS SA DE CV - Instance 2,3099,694,4737,7601,576,652,329,1773,1670
PRODUCTOS CRIBADOS DEL NOROESTE SA DE CV,INSTANCELEVEL,-9,Instance 2,PRODUCTOS CRIBADOS DEL NOROESTE SA DE CV - Instance 2,7601,4938,9893,707,307,626,68,1032,2337
COMERGALV SA DE CV,INSTANCELEVEL,-9,Instance 2,COMERGALV SA DE CV - Instance 2,7581,11381,549,7479,506,868,228,1154,2088
FABRICA DE HIGIENICOS Y TUBOS DECARTON SA DE CV,INSTANCELEVEL,-9,Instance 2,FABRICA DE HIGIENICOS Y TUBOS DECARTON SA DE CV - Instance 2,7284,9950,2651,362,789,662,240,1032,2380
ORGANIZACION EMPRESARIAL POSTES Y CONSTRUCCIONES S,INSTANCELEVEL,-9,Instance 2,ORGANIZACION EMPRESARIAL POSTES Y CONSTRUCCIONES S - Instance 2,8651,6394,9710,4448,380,820,457,1210,1942
Pintura Estampado y Montaje Sapi de CV,INSTANCELEVEL,-9,Instance 2,Pintura Estampado y Montaje Sapi de CV - Instance 2,5315,11826,4922,8960,675,744,369,1661,2108
PROD Y DIS VER FRESCAS GUIJOSA SC RL CV,INSTANCELEVEL,-9,Instance 2,PROD Y DIS VER FRESCAS GUIJOSA SC RL CV - Instance 2,9417,9013,2481,657,449,1084,196,1058,2170
TERENTRO SA DE CV,INSTANCELEVEL,-9,Instance 2,TERENTRO SA DE CV - Instance 2,11676,7295,5277,10690,781,845,299,1480,1529
FUNTASTIC LIMITED,INSTANCELEVEL,-9,Instance 2,FUNTASTIC LIMITED - Instance 2,6074,4121,10008,1558,443,1071,59,1613,2244
DeeTag USA,INSTANCELEVEL,-9,Instance 2,DeeTag USA - Instance 2,1326,11655,11418,7052,373,925,18,1213,1576
Lakeland Village,INSTANCELEVEL,-9,Instance 2,Lakeland Village - Instance 2,1540,6657,7673,3157,746,919,231,1427,2050
CHAOAN SWEET BEST FOOD CO LTD,INSTANCELEVEL,-9,Instance 2,CHAOAN SWEET BEST FOOD CO LTD - Instance 2,7412,3685,9769,3630,641,846,3,1605,1673
Cadbury Beverages Div Cadbury,INSTANCELEVEL,-9,Instance 2,Cadbury Beverages Div Cadbury - Instance 2,4445,8194,10908,7849,501,1036,428,1499,1674
Do not Use1,INSTANCELEVEL,-9,Instance 2,Do not Use1 - Instance 2,4692,10475,11552,4501,431,893,319,1488,1563
Oil Chem Research Corp,INSTANCELEVEL,-9,Instance 2,Oil Chem Research Corp - Instance 2,584,6095,7425,2834,370,904,18,1554,1739
LICK ELEVATOR,INSTANCELEVEL,-9,Instance 2,LICK ELEVATOR - Instance 2,6668,5982,11082,1650,350,887,309,1691,1804
Quanex Screens LLC,INSTANCELEVEL,-9,Instance 2,Quanex Screens LLC - Instance 2,5800,2739,5443,6911,733,1057,482,1816,1693
A and T unlimit Limited,INSTANCELEVEL,-10,Instance 1,A and T unlimit Limited - Instance 1,11925,4177,10695,1817,464,754,360,1361,2098
Sienna Gold Ltd,INSTANCELEVEL,-10,Instance 1,Sienna Gold Ltd - Instance 1,403,2272,4119,6530,584,737,224,1686,1610
COLD EXPRESS SA DE CV,INSTANCELEVEL,-10,Instance 1,COLD EXPRESS SA DE CV - Instance 1,4416,394,10500,591,746,675,315,1006,2178
Murex N.A. Ltd,INSTANCELEVEL,-10,Instance 1,Murex N.A. Ltd - Instance 1,8614,3557,972,7973,434,791,472,1070,2333
Via Systems,INSTANCELEVEL,-10,Instance 1,Via Systems - Instance 1,5369,5648,8717,6929,463,700,377,1707,2283
DAKTEL COMUNICACIONES SA DE CV,INSTANCELEVEL,-10,Instance 1,DAKTEL COMUNICACIONES SA DE CV - Instance 1,3680,256,9004,9148,373,940,459,1685,1516
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,INSTANCELEVEL,-10,Instance 1,DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE - Instance 1,8854,11150,1805,8327,722,938,115,1304,2191
OBED GERARDO ARELLANO GUTIERREZ,INSTANCELEVEL,-10,Instance 1,OBED GERARDO ARELLANO GUTIERREZ - Instance 1,8199,9632,6846,1086,585,833,394,1800,2101
REFRIGERACION COMER AGROPECU,INSTANCELEVEL,-10,Instance 1,REFRIGERACION COMER AGROPECU - Instance 1,5191,11199,11448,10471,790,951,436,1373,2092
Anunay Fab Ltd,INSTANCELEVEL,-10,Instance 1,Anunay Fab Ltd - Instance 1,267,4361,7703,1827,520,654,41,1629,1534
SUPER URECOAT INDUSTRIES,INSTANCELEVEL,-10,Instance 1,SUPER URECOAT INDUSTRIES - Instance 1,5363,8097,1528,11598,512,693,337,1392,1740
Jadow B & Sons Inc,INSTANCELEVEL,-10,Instance 1,Jadow B & Sons Inc - Instance 1,6305,9785,4785,4111,352,971,212,1634,2079
Republic of Nauru Phosphate (RONPHOS) Corporation,INSTANCELEVEL,-10,Instance 1,Republic of Nauru Phosphate (RONPHOS) Corporation - Instance 1,1607,3626,4819,4063,592,737,403,1536,2339
CARHLUC CARROCERIAS Y REMOLQUES SA DE CV,INSTANCELEVEL,-10,Instance 1,CARHLUC CARROCERIAS Y REMOLQUES SA DE CV - Instance 1,2897,10827,10539,4703,504,897,401,1163,2013
Alltech Automotive LLC,INSTANCELEVEL,-10,Instance 1,Alltech Automotive LLC - Instance 1,959,1904,1063,3675,763,866,138,1758,1635
DALE VALOR A MEXICO SC,INSTANCELEVEL,-10,Instance 1,DALE VALOR A MEXICO SC - Instance 1,1346,6507,8768,10089,561,875,477,1640,2204
SPIN MASTER MEXICO SA DE CV,INSTANCELEVEL,-10,Instance 1,SPIN MASTER MEXICO SA DE CV - Instance 1,6665,8446,9618,9795,651,895,408,1544,2336
ATTEBURY GRAIN,INSTANCELEVEL,-10,Instance 1,ATTEBURY GRAIN - Instance 1,6651,3196,2001,9811,457,607,73,1169,2029
Vicor,INSTANCELEVEL,-10,Instance 1,Vicor - Instance 1,806,1009,7600,6504,747,1002,179,1678,2483
Baja Inc,INSTANCELEVEL,-10,Instance 1,Baja Inc - Instance 1,10364,9585,6911,10735,789,987,102,1744,2278
National Assn of Printing Ink,INSTANCELEVEL,-10,Instance 1,National Assn of Printing Ink - Instance 1,2662,5697,4997,1396,612,715,264,1353,2276
MA PATRICIA ROSALES HERNANDEZ,INSTANCELEVEL,-10,Instance 1,MA PATRICIA ROSALES HERNANDEZ - Instance 1,1227,11242,1054,1486,777,779,250,1909,1764
EVERTIS DE MEXICO SA DE CV,INSTANCELEVEL,-10,Instance 1,EVERTIS DE MEXICO SA DE CV - Instance 1,9635,1113,7780,1442,589,799,33,1581,2255
GENERAL DE CERAMICA S A DE C V,INSTANCELEVEL,-10,Instance 1,GENERAL DE CERAMICA S A DE C V - Instance 1,4632,10287,7174,3184,510,989,267,1916,1607
GRUPO VACTREK SA DE CV,INSTANCELEVEL,-10,Instance 1,GRUPO VACTREK SA DE CV - Instance 1,1349,1021,883,9261,372,896,91,1993,2253
JUAN ANGEL FLORES AGUIRRE,INSTANCELEVEL,-10,Instance 1,JUAN ANGEL FLORES AGUIRRE - Instance 1,11567,9378,235,5219,737,700,28,1533,1772
Triumph Tool NC Inc,INSTANCELEVEL,-10,Instance 1,Triumph Tool NC Inc - Instance 1,4243,6096,702,7092,482,668,118,1736,1605
Darta NV,INSTANCELEVEL,-10,Instance 1,Darta NV - Instance 1,7685,8321,3036,884,469,1089,342,1259,1569
COTY UK LTD,INSTANCELEVEL,-10,Instance 1,COTY UK LTD - Instance 1,3309,72,4922,1416,681,871,146,1760,2045
Deal Partners Limited,INSTANCELEVEL,-10,Instance 1,Deal Partners Limited - Instance 1,6400,6157,7120,10483,605,716,366,1332,1934
IRISA ADHESIVES CORPORATION SA DE CV,INSTANCELEVEL,-10,Instance 1,IRISA ADHESIVES CORPORATION SA DE CV - Instance 1,423,8919,11803,8304,749,785,281,1068,2364
BOESDORFER & BOESDORFER INC,INSTANCELEVEL,-10,Instance 1,BOESDORFER & BOESDORFER INC - Instance 1,355,1433,3106,1965,546,1035,496,1969,1792
GKN Sinter Metals,INSTANCELEVEL,-10,Instance 1,GKN Sinter Metals - Instance 1,9561,8594,10584,3452,472,698,485,1602,1692
AGENCE PRESSE,INSTANCELEVEL,-10,Instance 1,AGENCE PRESSE - Instance 1,8032,3965,4475,9708,405,730,394,1082,2166
Vesco Foods Pty Ltd,INSTANCELEVEL,-10,Instance 1,Vesco Foods Pty Ltd - Instance 1,8836,1609,3865,8654,426,1076,168,1747,1678
AUREA SOFTWARE INC,INSTANCELEVEL,-10,Instance 1,AUREA SOFTWARE INC - Instance 1,1657,9683,10359,7092,691,647,330,1241,1817
Ocean Sports Wear,INSTANCELEVEL,-10,Instance 1,Ocean Sports Wear - Instance 1,11105,3730,7131,9901,348,930,482,1088,1955
NOVA INSTRUMENTS SERVICE SA DE CV,INSTANCELEVEL,-10,Instance 1,NOVA INSTRUMENTS SERVICE SA DE CV - Instance 1,4767,4835,10380,44,357,1036,170,1191,1751
RAUL MORALES RAMIREZ,INSTANCELEVEL,-10,Instance 1,RAUL MORALES RAMIREZ - Instance 1,1410,10940,770,564,497,737,291,1476,1643
STANLEY BOSTITCH SA DE CV,INSTANCELEVEL,-10,Instance 1,STANLEY BOSTITCH SA DE CV - Instance 1,9855,147,11676,3645,389,612,19,1237,2469
UNIFOODS SA DE CV,INSTANCELEVEL,-10,Instance 1,UNIFOODS SA DE CV - Instance 1,9816,3260,7122,2893,687,953,32,1529,2422
TOMAS MARTINEZ PATLAN,INSTANCELEVEL,-10,Instance 1,TOMAS MARTINEZ PATLAN - Instance 1,4526,7569,8232,7215,743,905,264,1721,2011
JARDINS DE NORTENE,INSTANCELEVEL,-10,Instance 1,JARDINS DE NORTENE - Instance 1,9384,1469,5003,4755,310,1078,449,1532,2053
Terry Store age spa,INSTANCELEVEL,-10,Instance 1,Terry Store age spa - Instance 1,281,3899,1835,7895,400,861,288,1999,2040
Goldie Marketing Pty Ltd,INSTANCELEVEL,-10,Instance 1,Goldie Marketing Pty Ltd - Instance 1,9194,9369,796,6273,451,684,125,1644,2354
ST. CLAIR SERVICE,INSTANCELEVEL,-10,Instance 1,ST. CLAIR SERVICE - Instance 1,10087,5976,7808,6516,480,673,41,1190,2006
Scottish Shellfish Marketing Group Ltd,INSTANCELEVEL,-10,Instance 1,Scottish Shellfish Marketing Group Ltd - Instance 1,775,6997,10006,6461,693,632,21,1543,2081
CARNES KM SA DE CV,INSTANCELEVEL,-10,Instance 1,CARNES KM SA DE CV - Instance 1,7602,8855,5160,3969,604,743,496,1170,1843
COMERCIALIZADORA UNICOR SA DE CV,INSTANCELEVEL,-10,Instance 1,COMERCIALIZADORA UNICOR SA DE CV - Instance 1,373,1759,8791,3159,670,1053,382,1196,2292
COMNET SA DE CV,INSTANCELEVEL,-10,Instance 1,COMNET SA DE CV - Instance 1,6483,4979,6883,10819,521,662,337,1076,2291
DISTRIB Y COMERC KOWALSKY SA DE CV,INSTANCELEVEL,-10,Instance 1,DISTRIB Y COMERC KOWALSKY SA DE CV - Instance 1,7574,4653,7685,1479,796,964,34,1656,2491
FRUITCORP SA DE CV,INSTANCELEVEL,-10,Instance 1,FRUITCORP SA DE CV - Instance 1,7851,11587,7688,2491,599,768,217,1281,1636
ORIGINALES THELVA SA DE CV,INSTANCELEVEL,-10,Instance 1,ORIGINALES THELVA SA DE CV - Instance 1,7388,3164,11727,10009,790,937,131,1405,2237
SISTEMAS MECANICOS E HIDRAULICOS SA DE CV,INSTANCELEVEL,-10,Instance 1,SISTEMAS MECANICOS E HIDRAULICOS SA DE CV - Instance 1,11797,149,7814,1482,461,849,181,1407,2447
COMERCIALIZADORA RIMATOM SA de CV,INSTANCELEVEL,-10,Instance 1,COMERCIALIZADORA RIMATOM SA de CV - Instance 1,11286,614,6149,10708,516,864,92,1427,1991
K & S Contractors Supply Co,INSTANCELEVEL,-10,Instance 1,K & S Contractors Supply Co - Instance 1,1026,6556,3732,4903,413,918,499,1301,1694
Tioga Hardwoods Inc,INSTANCELEVEL,-10,Instance 1,Tioga Hardwoods Inc - Instance 1,5535,3982,11829,553,628,633,382,1782,2268
GHCL Limited,INSTANCELEVEL,-10,Instance 1,GHCL Limited - Instance 1,10713,8647,428,2326,316,1061,358,1930,2454
Motion Industries Inc.,INSTANCELEVEL,-10,Instance 1,Motion Industries Inc. - Instance 1,11491,219,10079,8758,384,815,265,1337,1987
SUKETU ORGANICS PRIVATE LIMITED,INSTANCELEVEL,-10,Instance 1,SUKETU ORGANICS PRIVATE LIMITED - Instance 1,4261,7192,4912,3802,579,1076,307,1275,1727
Quantum Foods,INSTANCELEVEL,-10,Instance 1,Quantum Foods - Instance 1,9711,8759,9238,10848,440,888,64,1604,2211
