d	TYPE	BILLINGSTREET	BILLINGCITY	BILLINGSTATE	BILLINGPOSTALCODE	BILLINGCOUNTRY	SHIPPINGSTREET	SHIPPINGCITY	SHIPPINGSTATE	SHIPPINGPOSTALCODE	SHIPPINGCOUNTRY	PHONE	WEBSITE	INDUSTRY	OWNERSHIP	NUMBEROFEMPLOYEES	RATING	DESCRIPTION						
CONSORCIO DE ALIM DEL CARIBE SA DE CV	Customer - Direct	"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States"	CANCUN	MX-QR	77565	MX	"1301 Avenue of the Americas 
New York, NY 10019
USA"	CANCUN	MX-QR	77565	MX	CAC990906IR3	www.CONSORCIO DE ALIM DEL CARIBE SA DE CV.com	Communications	Private	2	Hot	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
CONSORCIO DIPCEN SA DE CV	Customer - Channel	"9 Tagore Lane
Singapore, Singapore 787472
Singapore"	MEXICO	MX-NL	54090	MX	DHE010828K6A	MEXICO	MX-NL	54090	MX	CDI970109KNA	www.CONSORCIO DIPCEN SA DE CV.com	Recreation	Public	76457	Hot	Commerical logistics and transportation company.						
CONSORCIO EMPRESARIAL ALLEGRO SA DE CV	Channel Partner / Reseller	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	MONTERREY	MX-NL	67118	MX	"1301 Avenue of the Americas 
New York, NY 10019
USA"	MONTERREY	MX-NL	67118	MX	CEA100729BR2	www.CONSORCIO EMPRESARIAL ALLEGRO SA DE CV.com	Manufacturing	Private	52345234	Hot	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
CONSORCIO INTERAMERICANO DE	Installation Partner	The Landmark @ One Market	MEXICO	MX-NL	3310	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	MEXICO	MX-NL	3310	MX	CIC970922LKA	www.CONSORCIO INTERAMERICANO DE.com	Utilities	Subsidiary	3	Warm	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
Constellation New Energy - Gas Division LLC	Technology Partner	"1301 Avenue of the Americas 
New York, NY 10019
USA"	La Vista	NE	68128	US	"1301 Avenue of the Americas 
New York, NY 10019
USA"	La Vista	NE	68128	US	20-5838057	www.Constellation New Energy - Gas Division LLC.com	Chemicals	Public	234	Cold	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
CONSTRUCCIONES EGIPCIO DE	Other	1301 Hoch Drive	MEXICO	MX-NL	38080	MX	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	MEXICO	MX-NL	38080	MX	CEC060131155	www.CONSTRUCCIONES EGIPCIO DE.com	Insurance	Other	234	Cold	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
CONSTRUCCIONES EN TUBERIA Y PAILERI	Prospect	2 Place Jussieu	MEXICO	MX-NL	66064	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	MEXICO	MX-NL	66064	MX	CTP080123BF5	www.CONSTRUCCIONES EN TUBERIA Y PAILERI.com	Biotechnology	Other	9000	Warm	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
CONSTRUCCIONES MAQUINADOS Y MTTO DE SALTILLO	Customer - Direct	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	SALTILLO	MX-CA	25130	MX	2 Place Jussieu	SALTILLO	MX-CA	25130	MX	CMM0704031V8	www.CONSTRUCCIONES MAQUINADOS Y MTTO DE SALTILLO.com	Electronics	Private	23	Hot	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
CONSTRUCCIONES METALICAS Y PAILERIA GARCAR SA DE C	Customer - Channel	"312 Constitution Place
Austin, TX 78767
USA"	MEXICO	MX-DF	55760	MX	2 Place Jussieu	MEXICO	MX-DF	55760	MX	CMP060714D34	www.CONSTRUCCIONES METALICAS Y PAILERIA GARCAR SA DE C.com	Communications	Private	2	Hot	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
CONSTRUCTIO ET STRUCTURA ROMAN SA DE CV	Channel Partner / Reseller	"345 Shoreline Park
Mountain View, CA 94043
USA"	TECAMACHALCO	MX-PU	75480	MX	Test acc 2157	TECAMACHALCO	MX-PU	75480	MX	CES081007NE0	www.CONSTRUCTIO ET STRUCTURA ROMAN SA DE CV.com	Engineering	Other	345	Warm	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
CONSTRUCTORA GARARE SA DE CV	Installation Partner	525 S. Lexington Ave	MEXICO	MX-DF	2840	MX	CES081007NE0	MEXICO	MX-DF	2840	MX	CGA0103138K4	www.CONSTRUCTORA GARARE SA DE CV.com	Communications	Private	12341	Warm	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
CONTAINER IMPORT SA DE  CV	Technology Partner	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	NAUCALPAN DE JUAREZ	MX-MX	53569	MX	CES081007NE0	NAUCALPAN DE JUAREZ	MX-MX	53569	MX	CIM070808126	www.CONTAINER IMPORT SA DE  CV.com	Telecommunications	Public	8	Warm	World's third largest oil and gas company.						
CONTRERAS LOPEZ ROSALIA	Other	"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States"	MEXICO	MX-NL	24040	MX	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	MEXICO	MX-NL	24040	MX	COLR420620C42	www.CONTRERAS LOPEZ ROSALIA.com	Agriculture	Public	23	Cold	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
CONTROL E INSTRUMENTACION DE PROCESOS INDUSTRIALES	Prospect	"9 Tagore Lane
Singapore, Singapore 787472
Singapore"	MONTERREY	MX-NL	64102	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	MONTERREY	MX-NL	64102	MX	CIP0805159R2	www.CONTROL E INSTRUMENTACION DE PROCESOS INDUSTRIALES.com	Technology	Other	675	Hot	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
Control Fluid Power	Customer - Direct	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	Guelph	CA-ON	N1H 5W5	CA	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	Guelph	CA-ON	N1H 5W5	CA	(756) 309-4219	www.Control Fluid Power.com	Machinery	Public	5234	Warm	World's third largest oil and gas company.						
CONTROLANYWHERE SA DE CV	Customer - Channel	The Landmark @ One Market	MONTERREY	MX-NL	64102	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	MONTERREY	MX-NL	64102	MX	CON120613JQ1	www.CONTROLANYWHERE SA DE CV.com	Shipping	Subsidiary	56	Hot	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
COORPORATIVO ALME SA DE CV	Channel Partner / Reseller	"1301 Avenue of the Americas 
New York, NY 10019
USA"	MEXICO	MX-NL	63000	MX	1301 Hoch Drive	MEXICO	MX-NL	63000	MX	CAL0606084B5	www.COORPORATIVO ALME SA DE CV.com	Retail	Private	4634	Warm	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
COPAMEX CORRUGADOS SA DE CV	Installation Partner	1301 Hoch Drive	MEXICO	MX-NL	66465	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	MEXICO	MX-NL	66465	MX	CCO010402750	www.COPAMEX CORRUGADOS SA DE CV.com	Transportation	Private	456745	Warm	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
COPILOTO SATELITAL SA DE CV	Technology Partner	2 Place Jussieu	MEXICO	MX-NL	4737	MX	CES081007NE0	MEXICO	MX-NL	4737	MX	CSA0702081Z2	www.COPILOTO SATELITAL SA DE CV.com	Finance	Subsidiary	4	Warm	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
CORPO CITRIK SA DE CV	Other	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	MEXICO	MX-NL	3100	MX	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	MEXICO	MX-NL	3100	MX	CCI060906B63	www.CORPO CITRIK SA DE CV.com	Utilities	Subsidiary	23	Cold	Commerical logistics and transportation company.						
CORPORACION ASTRAL SA DE CV	Prospect	"312 Constitution Place
Austin, TX 78767
USA"	MEXICO	MX-NL	45030	MX	"1301 Avenue of the Americas 
New York, NY 10019
USA"	MEXICO	MX-NL	45030	MX	CAS011228286	www.CORPORACION ASTRAL SA DE CV.com	Energy	Subsidiary	120	Cold	Commerical logistics and transportation company.						
CORPORACION EN VITAMINAS SA DE CV	Customer - Direct	"345 Shoreline Park
Mountain View, CA 94043
USA"	MEXICO	MX-NL	4318	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	MEXICO	MX-NL	4318	MX	CVI040311668	www.CORPORACION EN VITAMINAS SA DE CV.com	Consulting	Other	39000	Warm	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
CORPORACION JESA S.A. DE C.V.	Customer - Channel	525 S. Lexington Ave	MEXICO	MX-NL	53370	MX	2 Place Jussieu	MEXICO	MX-NL	53370	MX	CJE930726TS9	www.CORPORACION JESA S.A. DE C.V..com	Retail	Private	34	Cold	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
CORPORACION MEXICANA DE POLIMEROS SA DE CV	Channel Partner / Reseller	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	X	MX-NL	0	MX	CES081007NE0	X	MX-NL	0	MX	CMP871210SU2	www.CORPORACION MEXICANA DE POLIMEROS SA DE CV.com	Chemicals	Public	345	Warm	World's third largest oil and gas company.						
CORPORACION SIERRA MADRE SA DE CV	Installation Partner	"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States"	MEXICO	MX-MX	0	MX	CES081007NE0	MEXICO	MX-MX	0	MX	PRR037	www.CORPORACION SIERRA MADRE SA DE CV.com	Transportation	Private	456745	Warm	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
CORPORATIVO ADUANAL RUIZ DIVISION	Technology Partner	"9 Tagore Lane
Singapore, Singapore 787472
Singapore"	MEXICO	MX-NL	82000	MX	1301 Hoch Drive	MEXICO	MX-NL	82000	MX	CAR081217NE4	www.CORPORATIVO ADUANAL RUIZ DIVISION.com	Finance	Subsidiary	4	Warm	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
CORPORATIVO ADUANAL RUIZ SC	Other	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	MEXICO	MX-NL	0	MX	1301 Hoch Drive	MEXICO	MX-NL	0	MX	CAR9512187B8	www.CORPORATIVO ADUANAL RUIZ SC.com	Environmental	Private	2342	Cold	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
CORPORATIVO DE MATERIALES S.A. DE C	Prospect	The Landmark @ One Market	MEXICO	MX-NL	0	MX	2 Place Jussieu	MEXICO	MX-NL	0	MX	CMA850228973	www.CORPORATIVO DE MATERIALES S.A. DE C.com	Healthcare	Private	456	Warm	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
CORPORATIVO JURIDICO VELBAT SC	Customer - Direct	"1301 Avenue of the Americas 
New York, NY 10019
USA"	MEXICO	MX-NL	42035	MX	"1301 Avenue of the Americas 
New York, NY 10019
USA"	MEXICO	MX-NL	42035	MX	CJV1102083G9	www.CORPORATIVO JURIDICO VELBAT SC.com	Recreation	Public	6	Warm	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
CORPORATIVO MEXICANO DE PRODUCTOS INDUSTRIAL SA DE	Customer - Channel	1301 Hoch Drive	TLANEPANTLA	MX-MX	54440	MX	1301 Hoch Drive	TLANEPANTLA	MX-MX	54440	MX	CMP050606F20	www.CORPORATIVO MEXICANO DE PRODUCTOS INDUSTRIAL SA DE.com	Construction	Subsidiary	345	Warm	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
CORTES GARCIA ALEJANDRO CESAR	Channel Partner / Reseller	2 Place Jussieu	MEXICO	MX-NL	66477	MX	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	MEXICO	MX-NL	66477	MX	COGA6410208L1	www.CORTES GARCIA ALEJANDRO CESAR.com	Apparel	Private	45	Hot	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
COSPHERE CONSULTING GROUP S DE RL	Installation Partner	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	MEXICO	MX-NL	11580	MX	CES081007NE0	MEXICO	MX-NL	11580	MX	CCG0401147A6	www.COSPHERE CONSULTING GROUP S DE RL.com	Other	Other	2345	Warm	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
Coty Australia Pty Ltd	Technology Partner	"312 Constitution Place
Austin, TX 78767
USA"	Sydney	AU-NS	2000	AU	CES081007NE0	Sydney	AU-NS	2000	AU	96058696549	www.Coty Australia Pty Ltd.com	Environmental	Private	234	Warm	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
COTY UK LTD	Other	"345 Shoreline Park
Mountain View, CA 94043
USA"	ASHFORD	GB-KEN	TN24 8DH	GB	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	ASHFORD	GB-KEN	TN24 8DH	GB	490891118	www.COTY UK LTD.com	Not For Profit	Other	234	Warm	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
COUNTRY CLUB DE CULIACAN SA DE CV	Prospect	525 S. Lexington Ave	MEXICO	MX-NL	76150	MX	2 Place Jussieu	MEXICO	MX-NL	76150	MX	CCC660120QA4	www.COUNTRY CLUB DE CULIACAN SA DE CV.com	Consulting	Other	39000	Warm	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
COUOH MAY JORGE EDUARDO	Customer - Direct	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	MEXICO	MX-NL	97159	MX	DHE010828K6A	MEXICO	MX-NL	97159	MX	COMJ680421JX8	www.COUOH MAY JORGE EDUARDO.com	Technology	Other	45	Warm	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
COY & COY SA DE CV	Customer - Channel	"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States"	TLALNEPANTLA	MX-MX	54050	MX	CES081007NE0	TLALNEPANTLA	MX-MX	54050	MX	C&C0301203X6	www.COY & COY SA DE CV.com	Education	Public	235	Warm	Commerical logistics and transportation company.						
CRAFT INSTRUMENTOS CIENTIFICOS	Channel Partner / Reseller	"9 Tagore Lane
Singapore, Singapore 787472
Singapore"	MEXICO	MX-DF	2420	MX	2 Place Jussieu	MEXICO	MX-DF	2420	MX	CIC760427MH5	www.CRAFT INSTRUMENTOS CIENTIFICOS.com	Other	Other	412	Hot	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
CREACIONES ROQUE SA DE CV	Installation Partner	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	SAN MATEO ATENCO	MX-MX	52100	MX	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	SAN MATEO ATENCO	MX-MX	52100	MX	CRO0710267Z2	www.CREACIONES ROQUE SA DE CV.com	Food & Beverage	Other	234	Hot	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
CREACTIV CONSULTORES EN DISENO SA D	Technology Partner	The Landmark @ One Market	MEXICO	MX-NL	3100	MX	"1301 Avenue of the Americas 
New York, NY 10019
USA"	MEXICO	MX-NL	3100	MX	CCD0006T3NDA	www.CREACTIV CONSULTORES EN DISENO SA D.com	Apparel	Private	145000	Warm	World's third largest oil and gas company.						
Creative Castle Metal and Plastic Products Limited	Other	"1301 Avenue of the Americas 
New York, NY 10019
USA"	Tsuen Wan	HK-HK	111111	HK	Test acc 2157	Tsuen Wan	HK-HK	111111	HK	19032013	www.Creative Castle Metal and Plastic Products Limited.com	Government	Public	23	Warm	Commerical logistics and transportation company.						
Creme de la Cream Company bv	Prospect	1301 Hoch Drive	Zaandam	NL-NH	1505 HK	NL	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	Zaandam	NL-NH	1505 HK	NL	1505 HK	www.Creme de la Cream Company bv.com	Energy	Subsidiary	1234	Hot	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
CREMERIA AGROPECUARIA DE FRE	Customer - Direct	2 Place Jussieu	ZACATECAS	MX-ZA	0	MX	1301 Hoch Drive	ZACATECAS	MX-ZA	0	MX	CAF930922F39	www.CREMERIA AGROPECUARIA DE FRE.com	Transportation	Private	46	Warm	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
CREMONA INOXIDABLE SRL	Customer - Channel	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	XXXX	AR-B	0	US	"1301 Avenue of the Americas 
New York, NY 10019
USA"	XXXX	AR-B	0	AR	P002324	www.CREMONA INOXIDABLE SRL.com	Communications	Private	2	Hot	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
CRIBAS Y ARRENDAMIENTOS SA DE CV	Channel Partner / Reseller	"312 Constitution Place
Austin, TX 78767
USA"	CD OBREGON	MX-SO	85100	MX	DHE010828K6A	CD OBREGON	MX-SO	85100	MX	CAR061213TS7	www.CRIBAS Y ARRENDAMIENTOS SA DE CV.com	Food & Beverage	Other	234	Hot	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
CRISA LIBBEY COMERCIAL S DE RL DE CV	Installation Partner	"345 Shoreline Park
Mountain View, CA 94043
USA"	MONTERREY	MX-NL	64580	MX	CES081007NE0	MONTERREY	MX-NL	64580	MX	CLC051214FL3	www.CRISA LIBBEY COMERCIAL S DE RL DE CV.com	Media	Subsidiary		Cold	World's third largest oil and gas company.						
CRUZ CASTILLO J JESUS	Technology Partner	525 S. Lexington Ave	MEXICO	MX-NL	64300	MX	1301 Hoch Drive	MEXICO	MX-NL	64300	MX	CUCJ451015697	www.CRUZ CASTILLO J JESUS.com	Agriculture	Public	2680	Hot	World's third largest oil and gas company.						
CRUZ MOLINA JOSE DEL CARMEN	Other	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	MEXICO	MX-NL	86080	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	MEXICO	MX-NL	86080	MX	CUMC7212188L9	www.CRUZ MOLINA JOSE DEL CARMEN.com	Banking	Subsidiary	5600	Cold	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
CS INT'L HK TOYS LTD	Prospect	"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States"	KLN	HK-HK	HKSAR	HK	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	KLN	HK-HK	HKSAR	HK	6773929	www.CS INT'L HK TOYS LTD.com	Construction	Subsidiary	345	Warm	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
CSBP Limited	Customer - Direct	"9 Tagore Lane
Singapore, Singapore 787472
Singapore"	Kwinana Beach	AU-WA	6167	AU	Test acc 2157	Kwinana Beach	AU-WA	6167	AU	48008797402	www.CSBP Limited.com	Chemicals	Public	234	Cold	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
CULCITA LTD	Customer - Channel	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	New Ross	IE-WX	EN 11791	IE	Test acc 2157	New Ross	IE-WX	EN 11791	IE	35351422000	www.CULCITA LTD.com	Consulting	Other	45	Warm	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
D NOVO SA DE CV	Channel Partner / Reseller	The Landmark @ One Market	MEXICO	MX-DF	11950	MX	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	MEXICO	MX-DF	11950	MX	DNO0708285F0	www.D NOVO SA DE CV.com	Media	Subsidiary		Cold	World's third largest oil and gas company.						
D RENEE DE MEXICO SA DE CV	Installation Partner	"1301 Avenue of the Americas 
New York, NY 10019
USA"	LERMA	MX-MX	52000	MX	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	LERMA	MX-MX	52000	MX	DRM800221U91	www.D RENEE DE MEXICO SA DE CV.com	Food & Beverage	Other	436	Warm	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
Dai-Ichi Kangyo Bank	Channel Partner / Reseller	"1301 Avenue of the Americas 
New York, NY 10019
USA"	York	NE	68467	US	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	York	NE	68467	US	47-6000562	www.Perennial Public Power.com	Agriculture	Public	2680	Hot	World's third largest oil and gas company.						
Daisy of California	Technology Partner	DHE010828K6A	Lexington	NE	68850	US	1301 Hoch Drive	Lexington	NE	68850	US	47-6000131	www.Dawson Public Power District.com	Biotechnology	Other	9000	Warm	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
DAKTEL COMUNICACIONES SA DE CV	Technology Partner	1301 Hoch Drive	AGUASCALIENTES	MX-AG	20259	MX	2 Place Jussieu	AGUASCALIENTES	MX-AG	20259	MX	DCO1112155S2	www.DAKTEL COMUNICACIONES SA DE CV.com	Hospitality	Subsidiary	45	Warm	Commerical logistics and transportation company.						
DALE VALOR A MEXICO SC	Other	2 Place Jussieu	ALVARO OBREGON	MX-DF	1080	MX	1301 Hoch Drive	ALVARO OBREGON	MX-DF	1080	MX	DVA110623FF4	www.DALE VALOR A MEXICO SC.com	Consulting	Other	1	Cold	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
Daley Business Forms	Other	CES081007NE0	YORK	NE	68467	US	"1301 Avenue of the Americas 
New York, NY 10019
USA"	YORK	NE	68467	US	47-0834827	www.UNITED FARMERS COOP.com	Chemicals	Public	2342	Hot	Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs						
Dame Belts & Bag Co Inc	Customer - Channel	Test acc 2157	OMAHA	NE	68164	US	Test acc 2157	OMAHA	NE	68164	US	47-0619385	www.HANSEN MUELLER COMPANY.com	Education	Public	3000	Hot	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
DAMPF INGENIERIA SA DE CV	Prospect	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	FortÃŒ_n de las Flores	MX-VE	94470	MX	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	FortÃŒ_n de las Flores	MX-VE	94470	MX	DIN090305PW1	www.DAMPF INGENIERIA SA DE CV.com	Biotechnology	Other	23412	Warm	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
Dana Marketing Inc	Customer - Direct	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	OMAHA	NE	68106	US	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	OMAHA	NE	68106	US	47-0599176	www.SCOULAR GRAIN COMPANY.com	Energy	Subsidiary	120	Cold	Commerical logistics and transportation company.						
DANARI COMERCIAL SA DE CV	Customer - Direct	"312 Constitution Place
Austin, TX 78767
USA"	MIGUEL HIDALGO	MX-DF	11210	MX	2 Place Jussieu	MIGUEL HIDALGO	MX-DF	11210	MX	DCO920123TV0	www.DANARI COMERCIAL SA DE CV.com	Healthcare	Private	23	Hot	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
DANISCO US INC	Customer - Channel	"345 Shoreline Park
Mountain View, CA 94043
USA"	ROCHESTER	NY	14623	US	Test acc 2157	ROCHESTER	NY	14623	US	16-1362385	www.DANISCO US INC.com	Consulting	Other	45	Warm	Chain of hotels and resorts across the US	 UK	 Eastern Europe	 Japan	 and SE Asia.		
Darta NV	Channel Partner / Reseller	525 S. Lexington Ave	ARDOOIE	BE-VBR	8850	BE	"1301 Avenue of the Americas 
New York, NY 10019
USA"	ARDOOIE	BE-VBR	8850	BE	8850	www.Darta NV.com	Hospitality	Subsidiary	45	Warm	Commerical logistics and transportation company.						
DAVILA PEREZ FERNANDO	Installation Partner	"620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States"	MEXICO	MX-NL	67150	MX	"345 Shoreline Park
Mountain View, CA 94043
USA"	MEXICO	MX-NL	67150	MX	DAPF771021L66	www.DAVILA PEREZ FERNANDO.com	Transportation	Private	456745	Warm	Edge	 founded in 1998	 is a start-up based in Austin	 TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.			
Dawson Public Power District	Technology Partner	"888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States"	Lexington	NE	68850	US	1301 Hoch Drive	Lexington	NE	68850	US	47-6000131	www.Dawson Public Power District.com	Biotechnology	Other	9000	Warm	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
DAYNA CORTINAS ESTUDIOS DE M	Other	"9 Tagore Lane
Singapore, Singapore 787472
Singapore"	TLALPAN	MX-DF	0	MX	Test acc 2157	TLALPAN	MX-DF	0	MX	DCE120808AZ6	www.DAYNA CORTINAS ESTUDIOS DE M.com	Recreation	Public	76457	Hot	Commerical logistics and transportation company.						
DD GLOBAL S.A. DE C.V.	Prospect	"Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom"	MEXICO	MX-NL	32469	MX	"2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA"	MEXICO	MX-NL	32469	MX	DGL000329FZ6	www.DD GLOBAL S.A. DE C.V..com	Electronics	Private	345	Warm	Leading university in AZ offering undergraduate and graduate programs in arts and humanities	 pure sciences	 engineering	 business	 and medicine.		
